name,line
Maggie,[refuses to eat her baby food]
Homer,Aaaaahhh...  [eats some to demonstrate]
Time,14:58]
Hairdresser,"So, what's the verdict?"
Woman,[realizes she's been given a Marge Simpson hairdo]
Hairdresser,Yes you can.
Wiggum,You the man who reported the lost baby?
Homer,Yes.
Wiggum,Can you describe her?
Homer,"Uh, she's small...  She's a girl..."
Wiggum,Bingo!  [produces Maggie]
Episode,Homer at the bat
Homer,[scarfing down donuts]
Lenny,"Hey, Homer, slow down.  You're going to choke or something."
Homer,Don't tell me how to eat donuts!  [starts choking]
Karl,"[matter-of-factly] Hey, Homer's choking again."
Lenny,Isn't there a first-aid chart around here somewhere?
Karl,Somebody scare him.
Charlie,That's for the hiccups!
Lenny,"Homer, last year, we were 2 and 28."
Homer,"Look, I know it wasn't our best season..."
Lenny,"Actually, it was."
Homer,"Come here, boy, I want to show you something."
Bart,"What's that, a homemade bat?"
Homer,It's something very special.  A homemade bat.
Homer,[working to build a baseball bat in the garage]
Marge,"Homey, come to bed."
scene change,"Marge is in bed, as wood shavings flick onto her"
Bart,[sees Homer's homemade bat]  Wow!  How many home runs you gonna
Homer,Let's see.  We play thirty games.  Ten at-bats a game.  Mmm...
Umpire,"Okay, let's go over the ground rules."
Chief Wiggum,"[in baseball uniform]  Hey, we know how to play softball."
Umpire,Play ball!
Chief Wiggum,[steps to the plate]
Police radio,Attention all units!  Attention all units!
Chief Wiggum,Turn off that damn radio!
Lisa,"Wow, Dad!"
Bart,"Homer, can I get you a beer?"
Lisa,"No, <I> want to get him a beer."
Homer,"Kids, kids, kids!  You can <each> get me a beer."
Ari,Would you care to bet a million dollars on that?
Burns,"Oh, if we're going to bet, why don't we make it interesting!"
Ari,"What, a million dollars isn't interesting to you?"
Burns,"Oh, did you say a million?  I'm, I'm sorry, my mind was elsewhere."
Burns,"Smithers, I've been thinking.  Is it wrong to cheat to win"
Smithers,"Yes, sir."
Burns,Let me rephrase that.  Is it wrong if <I> cheat to win a
Smithers,"No, sir.  Who would you like killed?"
Smithers,[whispers in Jose Canseco's ear]
Jose,"I get $50,000 to play one game?"
Smithers,"That's right, Mr. Canseco."
Jose,"Well, it's a pay cut, but what the hey.  It sounds like fun."
Smithers,"[in the woods, a bullet grazes his shoulder]"
Hunter,"Hey, sorry.  I thought you were a deer."
Smithers,"Heh heh, that's okay.  Happens all the time."
Homer,You're Darryl Strawberry.
Darryl,Yes?
Homer,You play right field.
Darryl,Yes?
Homer,"I play right field, too."
Darryl,So?
Homer,"Well, are you better than me?"
Darryl,"Well, I never met you... but... Yes."
Marge,What makes you think this Darryl Strawberry character is better
Homer,"Marge, forget it.  He's bigger than me, faster than me, stronger"
Bart,"You make me sick, Homer.  You're the one who told me I could do"
Homer,"Well, now that you're a little bit older, I can tell you that's"
Bart,"Gotcha.  Can't win, don't try."
Smithers,"What are you going to do with the million dollars, sir?"
Burns,"Oh, I dunno.  Throw it on the pile, I suppose."
Hynpotist,You are all very good players...
Team,[entranced] We are all very good players...
Hypnotist,You will beat Shelbyville...
Team,We will beat Shelbyville...
Hypnotist,You will give one hundred and ten percent...
Team,That's impossible.  No one can give more than one hundred percent.
Mike Scioscia,[pushing a wheelbarrow of glowing green goop]
Karl,[pulls up beside him with his own wheelbarrow of glowing green goop]
Mike Scioscia,"Well, Karl, it's such a relief from the pressures of playing"
Karl,"Ah, don't worry about it."
Mike Scioscia,"Oh man, is this ever sweet..."
Homer,"Please please please, I want to make the team.  [catches Roger Clemens]"
Roger,You sure did!
Homer,"I did!  Woo-hoo!  Woo-hoo!  In your face, Strawberry!"
Roger,"Wait a minute, are you Ken Griffey, Jr.?"
Homer,No.
Roger,Sorry.  Didn't mean to get your hopes up.
Hibbert,"Uh, Mike, try to lift your arm."
Mike Scioscia,Can't... lift... arm... or... speak... at... normal... rate...
Homer,"Oh, one thing I'm good at and I can't do it any more."
Marge,"Homey, you're good at lots of things."
Homer,Like what?
Marge,Like snuggling?  [snuggles up to him]
Homer,Yeah.  but none of my friends can watch me.
Barney,"And I say, England's greatest Prime Minister was Lord Palmerston!"
Wade Boggs,Pitt the Elder!!
Barney,Lord Palmerston!!!
Wade Boggs,Pitt the Elder!!!!  [pokes Barney]
Barney,"Okay, you asked for it, bud!  [punches him out]"
Moe,"Yeah, that's showing him, Barney!  [scoffing]  Pitt the Elder..."
Barney,Lord Palmerston!!!! [punches Moe]
Homer,Where do you think you're going?
Lisa,To the game.
Homer,No no no.  I don't want you to see me sit on my worthless butt.
Bart,"We've seen it, Dad."
Episode,Homer the heretic
Radio,I hope you're somplace warm.
Homer,You bet your sweet... [looks around to make sure nobody's around]
thought balloon,Homer weds Marge]
thought balloon,Homer dances as an overturned beer truck sprays its contents
Marge,Are you actually giving up your faith?
Homer,"[backpedaling] No!  No-no-no-no-no no! [pause] Well, yes."
Time,6:42]
God,Thou hast forsaken My Church!
Homer,"[in fear]  Uh, kind-of...  b-but..."
God,But what!
Homer,"I'm not a bad guy!  I work hard, and I love my kids.  So why should"
God,[pause]  Hmm...  You've got a point there.
God,Does Saint Louis still have a team?
Homer,"Naw, they moved to Phoenix."
God,Oh.  Right.
Lisa,Why are you dedicating your life to blasphemy?
Homer,"Don't worry, sweetheart.  If I'm wrong, I'll recant on my deathbed."
Marge,"Reverend Lovejoy, I had a bit of an ulterior motive in"
Lovejoy,[surprised and angry] What!?
Homer,God Himself told me I should seek a new path.
Lovejoy,"[suspicious] Oh, really..."
Homer,"Yeah.  He appeared before me in a dream, and I knew that"
Lovejoy,"Homer, I'd like you to remember Matthew 7:26."
Homer,And <you> remember... Matthew ... 21:17!
Lovejoy,``And he left them and went out of the city into
Homer,Yeah...  [regains his nerve]  Think about it!
Marge,"Homer, please don't make me choose between my man and my God, because"
Homer,"There you go again, always taking someone else's side."
Homer,"Wait a minute, is this a religious thing?"
Krusty,"A religious <clown> think, yes."
but Apu corrects him,He has a
Time,15:49]
Homer,"Flanders, you saved me!  Why?"
Ned,Heck!  You'd'a done the same for me.
Homer,"[thought balloon:  Ned screams for help, trapped in his house.  Homer"
Insurance agent,Any valuables in the house?
Homer,"Well, the Picasso, my collection of classic cars..."
Insurance agent,"Sorry, this policy only covers actualy losses,"
Homer,[miffed] Well that's just great!
Brockman,"Fire, Man's Oldest Foe.  Insatiable, remorseless, unquenchable."
Wiggum,"Hey, it's out!  [cheers]"
Brockman,[brightly] Coming up next:  Which work better?  Spring clothespins
Ned,"Homer, God didn't set your house on fire."
Lovejoy,"No, but He <was> working in the hearts of your friends and"
Apu,Hindu!  There <are> 700 million of us.
Lovejoy,"Aw, that's super."
Homer,"I was rude to every one of you, and you saved my life when you could've"
Marge,"Aw, Homer, I'm so glad to hear you say that."
Homer,What's the meaning of life?
God,"Homer, I can't tell you that.  You'll find out when you die."
Homer,I can't wait that long!
God,You can't wait six months?
Time,20:46]
Episode,Homer goes to college
Burns,"[awakening, over the intercom] Mmm...hmm...what?  How dare you"
Burns,"There must be some mistake.  We, er, we make cookies here: Mr."
Burns,The watchdog of public safety...is there any lower form of
Smithers,"Don't worry sir, I rounded up our less gifted employees and"
Bernie,"Duh, Homer, why are we down here?"
Homer,"Aw, geez.  I told you, Bernie: to guard the bee!"
Man,[whining] But why?
Homer,"Aw, you guys are pathetic.  No wonder Smithers made me head"
Bernie,"Duh, he's gettin' away."
Man,"Oh, we did bad!"
Homer,[moans]
Homer,What the hell are you talking about?
Homer,What do I do?  What do I do?  In the name of God you've got to
Homer,[sotto voce] Just poke blindly at the controls until they let
Burns,"Oh, very well, it's time for your bribe."
Homer,"[answers the door, sees Burns with his lawyers] Aah!"
Burns,"Hello, Simpson.  My lawyers and I were in the neighborhood and"
Marge,[nervously] Would you like to come in for tea and marshmallow
Lawyer,"Yes, he would."
Burns,"Remember, your job and the future of your family hinges on"
and one more thing,[ominously] you must find the jade
Smithers,"Actually sir, we found the jade monkey; it was in your glove"
Burns,And the road maps?  And ice scraper?
Smithers,"They were in there too, sir."
Burns,Ex-cellent!  It's all falling into place.
Homer,[growls in frustration]
Lisa,"Dad, don't let these application essays throw you.  Let's see:"
Homer,"Is ""TV Guide"" a book?"
Lisa,No.
Homer,"""Son of Sniglet""?"
Lisa,No.
Homer,"Katherine Hepburn's ""Me""?"
Lisa,No!
Homer,"Oh, I suck."
Homer,"[writing] ""...It was the most I ever threw up, and it changed my"
Bart,"You the man, Homer!"
Homer,"Thanks, boy!"
Bart,"I dunno, Dad: don't you have a better picture?"
Homer,Relax.  A photo can't make any difference.
Man,[looking at the photo] He looks crazy.
Woman,Agreed.  Reading his essay would only waste valuable seconds.
Prez,"[on TV] Dean Bitterman, I hope nothing unsavory happens during my"
Dean,"Oh, don't worry.  I've expelled those rowdy members of Chugalug"
Homer,"[watching] Ohh, I hate that lousy Dean!"
Corey,"[on TV] Your Bra Bomb better work, Nerdlinger!"
Nerd,Hey!
Dean,"Corey?!  Don't worry, Mr. President, I --"
Prez,"Lighten up, Bitterman...that youngster will make a perfect"
Dean,[growls; a bra falls on his head]
Homer,"[triumphant] Yes!  Take _that_, Bitterman."
Marge brings in the mail,it has the decision letters from all the
Bart,"Well, Pop, what are you going to do?"
Homer,[resolutely] Something I should have done a _long_ time ago.
Marge,"You don't know, do you?"
Homer,"[meekly] No, ma'am."
Man,"I'm sorry, Mr. Burns, but I must object.  This Simpson is not"
Burns,"I see.  Well, you know, fellows, I look at the admissions board a"
Man,"[noticing] Er, excuse me, what are you doing?"
Burns,I'm giving you the [grunt] beating of your life!
Man,"Look, if -- stop that!  -- you wanted him that badly, why didn't"
Burns,"[collapses from exertion] Smithers, dismember the corpse and send"
Homer is elated,Burns' tactic worked!
Homer,Woo-hoo!  I'm a college man!  I won't need my high school diploma
Time,8:07]
Homer,My first day of college.  I wish my father was alive to see this.
Abe,[springing up from the back seat] Hey!
Homer,How long have you been back there?
Abe,[meekly] Three days!
Homer,[yelling at a student] Neeeerd!
Marge,"Homer, that isn't very nice."
Homer,"Marge, try to understand.  There are two kinds of college"
students,"jocks and nerds.  As a jock, it is my duty to give"
Jock,[not understanding] Pardon me?
Homer,"[spiking the punch] Heh heh, I'll be a campus hero."
Student,"Attention, everyone: the punch has been spiked."
Homer,"Marge, someone squeezed all the life out of these kids.  And"
Dean,"Hi there!  Hello, I'm Dean Peterson, but you can call me Bobby."
Homer,"[bitterly] Boy, I can't wait to take some of the starch out of"
the old saying,"out with the old, in with the nucleus.""  Everyone laughs"
Prof,"{Now if anyone would like to stay, I'm going to hold a"
Homer,{[waving] Do we have to?}
Prof,{No --}
Homer,{Then kiss my curvy butt goood-bye!}
Marge,"{Homer, we have a perfectly good bookcase.}"
Homer,"{Yeah, but this is what they're doing on campus.  Besides, it"
t costing us,I swiped the cinderblocks from a construction
Worker,"{Sir, six cinderblocks are missing.}"
Boss,"{There'll be no hospital, then.  I'll tell the children.}"
Prof,This proton accelerator destabilizes the atom in this chamber
Homer,"Uh, excuse me, Professor Brainiac, but I worked in a nuclear"
Prof,"Well, please, come down and show us."
Homer,"All right, I will."
Homer,"[to meltdown men] In there, guys."
Men,"Thanks, Homer."
Dean,"Homer, no one blames you for the accident, we simply feel you"
Homer,"[to himself] Yeah, you've won this round, Dean...but the war"
Dean,Hello?
Homer,"[disguising his voice] Hello, Dean!  You're a stupid-head."
Dean,"Homer, is that you?  [looks out his window]"
Homer,"[looks up, sees the Dean looking at him] Aah!"
Homer,"Look, I'm supposed to get a physics tutor."
Nerds,[in unison] We are the Knights Who Say...Ni!  Ni!  [laughter]
Homer,Heh heh...Ni.
Homer,We played Dungeons & Dragons for three hours!  Then I was slain
Bart,"Listen to yourself, man: you're hangin' with nerds."
Homer,You take that back!
Marge,"Homer, please!  These boys sound very nice, but they're clearly"
Homer,Really?  But nerds are my mortal enemy!
Lisa,"Dad, nerds are nothing to fear.  In fact, they've done some"
Homer,"[gasp] Oh, not Souter!  Oh, no!"
Homer,"Ehh, I'll write it on my hand."
Homer,"Come on, guys.  Look at yourselves!  All you do is study.  I'm"
going to show you the true meaning of college,we're gonna go
Marge,"If you're going for a ride, I'd like you to take Bart and Lisa."
Homer,"[plaintively] But Marge, we're college guys and we're up to no"
Lisa,We stopped five minutes ago!
He decides a big crazy prank might do the trick,maybe rolling
better idea,"pignapping the Springfield A&M mascot, Sir Oinkcelot."
Dean,[outside] Hell-oo...that sounds like a pig fainting!
Dean,"I'm sorry, boys, I've -- I've never expelled anyone before,"
Nixon,"[bitterly] Oh, you'll pay.  Don't think you won't pay!"
Homer,"Guys, believe me, I didn't mean to get you expelled."
Snake,"Uh, wallet inspector."
Snake,Huh ho!  I can't _believe_ that worked.
Homer,[realization dawning] Heyy...that's not the wallet inspector!
Time,15:59]
Homer,Marge!  They don't have anywhere to stay.  And they're geniuses.
Marge,"[hearing modem noises] Ooh, what's wrong with this phone? it's"
time for an Itchy and Scratchy cartoon,"""Burning Down the Mouse"".  Lisa"
s heard about it already,"""This is the one where Scratchy"
Itchy stares up in horror as a shadow looms over his face,Scratchy is
Bart,"[sharpening knives] Dad, start diggin' some nerd holes!"
Lisa,[plaintively] It's bad enough that they put their retainers in
Homer,"Look, I'm sure we can work something out where we can all live in"
Marge,"No, I want those geeks outta my house!"
but Homer ignores them,"""I got it!  We're gonna fix it so you guys"
guys,push him out of the way in exactly three seconds.
Number of messages received,"zero,"" it says, and the three sigh with"
But Homer has forgotten why he was at college in the first place,"""So,"
Homer,"Actually, I've been working on a plan.  During the exam, I'll"
Homer,Whatever.  Either way is good.
Homer,"[whining] Oh, I'm going to lose my job just 'cause I'm"
Homer,[surprised] Computers can do that?
Homer,"Oh, I love -- moral whuzzah?"
Marge,An A+!  How did you do it?
Homer,"Oh, let's just say I had help from a little magic box."
Marge,You changed your grade with a computer?
Homer,D'oh!
Homer,"Look, the important thing is that we all learned a lesson."
Homer,"Oh.  Then I learned the real value of college is to study, and"
Lisa,"No you didn't.  You only passed your course by cheating, which"
Homer,Hmm...true.
Homer,"Well, I guess it's back to college for me.  And that means it's"
Nerds,[timidly] Par - ty - down?
Homer,Yess!
Episode,Homer loves Flanders
Kent,"Tonight, on ""Eye on Springfield"": just miles from your doorstep,"
But first,Springfield has come down with a fever.  Football
brought on by the biggest game of the year,the Pigskin
Man,Warning: tickets should not be taken internally.
Homer,"See?  Because of me, now they have a warning."
Bart,"[sly] Hey Dad, sell you these for fifty bucks..."
Homer,Woo hoo!  Sold.  [gives Bart money]
Marge,"[tired] Those aren't tickets to the game, Homer."
Homer,"What do you mean?  It says right here: ""Free wig with every"
Homer,"Heh heh heh, I did it!  Second in line, and all I had to do was"
Man,"With the money you would have made working, you could have bought"
Homer,"In theory, yes.  [sotto voce] Jerk."
Man,"Give me, er, 30,000 tickets."
Woman,"That'll be $950,000 please."
Man,"Look, the thing about that is, I only got $10 on me.  Can I pay"
Woman,Sure.
Marty,"That was Bobby McFerrin's new one, ""I'm Worried (Need Money)""."
Homer,Get tickets.  Must get tickets!  Find phone.  Yes!
Marty,Still waiting for that caller...
Homer,"[runs in whimpering, grabs phone]"
Marty,"Oh, we have a winner!  What's your name, sir?"
Ned,Ned Flanders!
Homer,"Oh, not Flanders, anybody but Flanders --"
Ned,"Well, golly, if that doesn't put the ""shaz"" in ""shazam.""  Oh,"
listen,what's the cash value of those tickets so I can report it
Homer,Why am I such a loser?  Why?
Bart,"Well, your father was a loser, and _his_ father, and his"
Lisa,What's so special about this game anyway?  It's just another
Homer,"Heh heh heh.  Yeah, they swore they'd get us back by spiking"
Marge,"[drinks tap water, sees the walls start to run]"
Chicken,"[getting out of the oven] Personally, I think I'm overdone."
Homer tries for the second last resort of the scoundrel,prayer.
Homer,"God, if you really are God, you'll get me tickets to that game."
Ned,"Heidely-ho, neighbor.  Wanna go to the game with me?  I got two"
Homer,"[slams the door] Why do you mock me, O Lord?"
Marge,"Homer, that's not God.  That's just a waffle that Bart tossed up"
Homer,"I know I shouldn't eat thee, but -- [bites] Mmm, sacrilicious."
Marge,[calling from window] Homer?
Homer,Huh?
Marge,Are you planning to hit Ned Flanders with that pipe and take his
Homer,Ye -- no...
Ned,[answers door] Huh?  [Homer winds up]
Homer,"Oh.  [winds down] Flanders, I decided I'd like to go to the game"
Ned,"Well, get out the Crayloas and color me ""Tickled Pink"".  Ooh,"
Homer,"[sheepish] Well, yeah."
Homer,[gasps] Duck!  I can't let the boys see me with you!
Ned,What?
Homer,"[grunts, pushes Ned down] Hi!"
Lenny,"Hey!  Look, Homer's got one of those robot cars!"
Carl,One of those _American_ robot cars.
Burns,"{[to players] Men, there's a little crippled boy sitting in a"
Milhouse,"{[to his parents] I hope they win, or Mr. Burns said he's"
Homer,"Well, I guess I should pay my share."
Ned,"[laughs] Relax, Homer.  I keep telling you, you're my guest."
Homer,"Ooh, you brought me a nacho hat!  Thanks, Ned."
Stan,[calling a play] Blue 27 on three.
Homer,"If anyone can pull it off, it's Stan ""The Boy"" Taylor."
Crowd,"{Stan, Stan, he's our boy,"
Homer,Hey!  Somebody sign an autograph?  Please?  Somebody...sign an
Stan,Ned?  Is that -- Ned Flanders?
Ned,"Heidely-ho, Stanster."
Homer,You know Stan Taylor?
Stan,Know me?  Ned Flanders saved me.  I used to party all night and
Homer,"Professional athletes, always wantin' more."
Stan,"Ned, they gave me the game ball, but I want you to have it."
Homer,[gasps]
Ned,Tell you what -- Homer Simpson here's just about the biggest Atom
Stan,"Sure, anything for Neddy.  Here you go!"
Homer,Wow.  Now I have four children.  [to ball] You will be called
Ned,"Oh, I guess it's time for me to duck again."
Homer,No!  I want everyone to know that -- [yells] this is Ned
Lenny,What'd he say?
Carl,I dunno.  Something about being gay.
Time,8:09]
Marge,"Homer, that's our wedding photo!"
Homer,"Marge, quit living in the past."
Ned,"Heydily-ho, window buddy.  Just wondering if you'd like to come"
Homer,"I'll be there.  And this time, _you_ can be the Nacho Man."
Lisa,"Dad and Ned Flanders next?  Hmph.  What's next, A's on Bart's"
Bart,[realizes] Hey!
Ned,"[uneasy] Uh, be careful there, Homer, that is sort of a new"
Homer,"Watch this, Ned.  They don't call me ""Springfield Fats"" just"
Father sheep,"What's wrong, Jeremiah?"
Jeremiah,It's not fair.  My brother Joseph has a sin to confess.  I
Father sheep,"Oh, don't you see?  You _do_ have a sin to confess -- the"
Todd,"It's all well and good for sheep, but what are we to do?"
Homer,Boring!  Let's watch something else.
Todd,Aw...
Ned,"Now, boys, Mr. Simpson is the guest.  He gets to decide"
Homer,Yeah...
Ned,Sure doodily-do.  Over 230 channels locked out!
Maude,"OK, boys, time for bed.  Say good night."
Todd,"Good night, Daddy.  Good night, Uncle Homer."
Homer,"Aw, Uncle Homer.  Ned, since you've let me spend time with"
Barney,Hey.
Homer,"I'd like to introduce Ned Flanders, my best friend."
Moe,"Hey, I don't want no one in here with their ""evils of alcohol"""
Ned,Wait a second: you're the man at the hospital who reads to
Moe,"[grabs Ned] If this gets out, the next words you say will be"
Marge,"Honey, I'm so glad you're ho --"
Homer,"Can't talk, seeing Flanders.  Later, sex."
Marge,Hmm...
Ned,"Bless the grocer for this wonderful meat, the middlemen who"
Homer,"Hiya.  Flanders.  Ooh, dinner!  May I join you?  [climbs in]"
Ned,"Homer, I'd love to chitty-chat, but tonight's the night I do my"
Homer,"Oh yeah, the judge made me do that once too.  Stupid lack of"
Homer,Come on!  We've been here for fifteen minutes!  Can't you see
Ned,Homer...maybe you'd have more fun at Moe's tonight.
Homer,"Aw, for some reason, Moe's always closed on Wednesdays"
Moe,"[in a corner, reading] ""And then they realized, they were no"
longer little girls,"they were little women.""  [sniffles]"
Marge,"Homey, I'm very proud of you, but don't you think you're spending"
Homer,"Oh, of _course_ you'd say something like that, Marge.  You've"
Marge,That was you!
Homer,"Love, Marge.  Don't hate -- love."
Bart,"The Flanders are a bunch of geeks, man."
Homer,"The Flandereses are not geeks!  -- OK, Rod and Todd are, and the"
Bart,"No way, Jose!"
Homer,Yes way!
Lisa,"Don't worry, Bart.  It seems like every week something odd"
Bart,"Ay, caramba!"
Lisa,That's the spirit.
Marge,I hope the children enjoy my special fruit punch.
Lisa,We got the recipe from the Fruit Punch Advisory Board.
Maude,"Oh, gosh, I'm sorry.  Our boys don't eat sugar."
Marge,But why would the Advisory Board give us bad advice?
Maude,No sugar!
Todd,"Thank you, but we're not allowed."
Bart,"Aw, it's OK.  There's no sugar in Pixie Stix."
Rod,"Don't hog it all, smelly-head."
Todd,"Go to hell, zit face!"
Homer,I'd like to propose a toast to the coming together of the
Ned,"[sighs] Well, sir...my entire family is very touched --"
Homer,Food fight!
Homer,[later] Whatcha doin'?
Ned,We're heading back.  Todd's got Zesty Italian in his eye.
Homer,"Oh, OK.  But at least let me take the boat out for one last spin?"
Ned,"Oh, I don't know --"
Homer,Too late!
Ned,"[groans] Oh Lord, please give me the strength to endure Homer"
Homer,"Your car.  [looks at the full parking lot] Boy, what are the"
Maude,"What's the matter, Ned?"
Ned,I...I think I hate Homer Simpson.
Homer,"Marge...I think I hate Ted Koppel!  No, wait, I find him"
Time,15:55]
Homer,"Hey!  What's up for today, Neddy?"
Ned,"Uh, er, Homer, we're gonna visit the boys' grandmother.  Family"
Homer,Right!  No reporters.
Ned,"No, I, I...I mean just the Flanders family."
Homer,"[slowly] Oh, OK.  [goes back through the hedge]"
Todd,Oh boy!  Grandma!
Ned,We're not goin' anywhere.
Todd,But you said --
Ned,"Er...sometimes to keep from hurting someone's feelings, you have"
Rod,Lies make baby Jesus cry.
Ned,We did it!  We got rid of --
Ned,"I told you, officer, I'm not ""hepped up on Goofballs."""
Wiggum,"[bored] Yeah, right."
Lovejoy,Ned Flanders!  I never would have imagined.
Wiggum,"High as a kite, everybody!  Goofballs!"
Ned,"I can't do it, Maude.  I can't face their accusing eyes!"
Maude,"Oh, don't worry, Ned.  This is a house of love and forgiveness."
Crowd,"There he is, Ned Flanders!"
Ned,"Oh, I think we should leave."
Homer,"Hey, Flanders, over here!  I got us some kick-ass seats."
Lovejoy,"Before I get started on today's sermon entitled, ""What Ned"
Homer,[kisses audience] I live to give!
Lovejoy,That's beautiful.  We appreciate the kisses.
Ned,"Oh, can't you see this man isn't a hero?  He's annoying."
Lovejoy,[haughty] Well.  Ned Flanders is just jealous.
Moe,"Aw, the guy's hepped up on Goofballs."
Abe,Let's sacrifice him to our god!
Homer,How dare you talk about Ned Flanders like that.  He's a
heaven,we'd already be there.
Lovejoy,"Um...well, I think we all owe Ned a heartfelt apology.  We were"
Lenny,"Hey, that guy's right!"
Ned,"Thank you so much, Homer.  You're a true friend."
Homer,"Right back at you, buddy.  Now how about that game at the"
Ned,Just try and stop me.
Bart,"I don't get it, Lis.  You said everything would be back to"
Lisa,Yeah.  Maybe this means the end of our wacky adventures.
Homer,"Guess what, everybody?  My great uncle Boris died and left us his"
s only one catch,they say it's
Ned,"Hi-diddely-ho, neighbor!"
Homer,"Get lost, Flanders."
Ned,Okily dokily.
Episode,Deep space Homer
Carl,"I hate these ""Worker of the Week Award"" ceremonies."
Lenny,Who even cares any more?  Everyone at work sure has already got
Carl,Except foooooor --
Homer,"Hello!  Well, today's the day for Homer J.!  I _know_ I'm going"
Lenny,Yeah?  How come?
Homer,"Union rule 26.  ""Every employee must win 'Worker of the Week' at"
Smithers,"Attention, everyone.  Let's have an awed hush please for Mr."
Burns,"Compadres, it is imperative that we crush the freedom fighters"
Homer,"[growls] Ooh...inanimate, huh?  I'll show him inanimate!"
Homer,Stupid carbon rod.  It's all just a popularity contest!
Bart,Wow!  Did you actually get to _see_ the rod?
Marge,"Oh, I'm sorry, Homey."
Homer,[mournful] Nobody respects me at work.
Marge,Well _we_ respect you!
Homer,"Ah, TV respects me.  It laughs _with_ me, not at me!"
Man,You stupid -- [laughs uncontrollably]
Homer,D'oh!  [switches channels]
Tom,"It's a lovely day for a launch, here, live at Cape Canaveral, at"
Tom,"Unbelievable, and just imagine the logistics of weightlessness."
Homer,Boring.
Tom,Now let's look at the crew a little.
Tom,"And we laugh legitimately.  There's a mathematician, a different"
Homer,Make it stop!  [panics]
Bart,"Oh no, not another boring space launch.  Change the channel."
Homer,I can't!  I can't!
Assistant,"Sir, we've run into a serious problem with the mission."
Scientist,"Oh my God...we've been beaten by ""A Connie Chung Christmas!"""
Scientist,"People, we're in danger of losing our funding.  America isn't"
Assistant,Maybe we should finally tell them the big secret: that all
Chimp,"No, I don't think we'll be telling them _that_."
Scientist,We need a fresh angle to keep the public interested.
Assistant,"The public see our astronauts as clean-cut, athletic go-"
Woman,"Well, who do they like?"
Assistant,"Well, here are the most popular personalities on television,"
Taylor,I did it!  I supercharged my riding mower.
Peg,[whines] Al...let's have sex!
Al,"Ehh, no Peg."
Fox,"only the best programs, ""Deep Space Homer"""
Researcher,"Why, they're all a bunch of blue-collar slobs!"
Scientist,"People, that's who we need for our next astronaut."
Assistant,"I suggest a lengthy, inefficient search.  At the taxpayers'"
Scientist,I wish there was an easier way.
Homer,"Hello, is this NASA?"
Scientist,Yes?
Homer,Good!  Listen: I'm sick of your boring space launches.  Now
Scientist,How did you get this number?
Homer,Shut up!  And another thing: how come I can't get no Tang
Scientist,"People, our long search is over."
Homer,"Hello, is this President Clinton?  Good!  I figured if anyone"
Assistant,Excuse me --
Homer,Aah!
Assistant,Are you the person that called NASA yesterday?
Homer,"No, it wasn't me, I swear!  It was...him!  [points to Barney]"
Scientist,"Sir, how would you like to get higher than you've ever been"
Barney,Be an astronaut?  Sure!
Scientist,"Well, welcome aboard.  I think you'll find this will win you"
Homer,[gasps] Respect?  Nooo!  It was me.  _I_ made the crank call.
Check with the FBI,I have a file.  I
Scientist,"Ehh, better take both of them."
Assistant,I know.
Time,6:05]
Scientist,Ladies and gentlemen and members of the press.  I'd like to
present the new generation of NASA astronauts,the average
Reporter,"Jim Wallace, Associated Press.  [clears throat] Is this a"
Scientist,"[cheery] Far from it, Jim.  One of these men will prove space"
Reporter,"Toby Hunter, Minneapolis Star.  No really, is this a joke?"
Scientist,"No, Toby, and no more questions about whether this is a joke."
Reporter,"Uh, question for the barbeque chef.  Don't you think there is"
Homer,I'll field this one.  The only danger is if they send us to
Barney,[burps] Oh -- [falls over]
Scientist,"Thank you, that's all we have time for."
Scientist,Now of course only one of you will be chosen to go into
Assistant,"Oh, and Mr. Gumble: for the duration of the training there"
Barney,What?  Three whole weeks with only wine?  I'll go crazy!
Homer,And may the best man win.  [whispers to assistant] He's got a
Bart,"Wow, my father an astronaut.  I feel so full of...what's the"
Marge,Pride?
Bart,"No, not _that_ far from shame."
Homer,[quavering] Less shame?
Bart,[happy] Yeah...
Marge,"You know, Homer, when I found out about this, I went through a"
Homer,Who's doing what now?
Homer,"Well, here I am, right on time.  I don't see Barney ""Let's"
Assistant,"Actually, he's been here since sunrise."
Barney,"Hi Homer.  Since they made me stop drinking, I've regained my"
Observe,"[does backflips] ""I am the"
Homer,"Oh, that's nothing.  Watch this: [does cartwheels] ""There"
Scientist,"Gentlemen, I'd like you to meet the two experienced"
astronauts who will accompany the winner into space,Race
Buzz,{Second comes right after first.
Homer,"[contemptuous] I, er, don't think this contest is over yet,"
Scientist,"There's no swimsuit competition, Homer."
Homer,[voice rising] You mean I shaved my bikini zone for nothing?!
Scientist,"Gentlemen, you've both worked very hard.  And in a way,"
Homer,"[downcast] Congratulations, Barney."
Scientist,"That's very gracious of you, Homer.  Please join us in a"
Barney,It begins...[grabs the bottle and chugs]
Scientist,"[resigned] Well, Homer, I guess you're the winner by default."
Homer,Default?  Woo hoo!  The two sweetest words in the English
language,de-fault!  De-fault!  De-fault!
Scientist,"Where'd you get that, anyway?"
Assistant,Sent away.
Time,11:13]
The Itchy and Scratchy cartoon is a topical one,"""Scar Trek: The Next"
Announcer,The preceding program contained scenes of extreme violence
Homer,Marge...I don't really want to go through with this.  But being
